Název,Cena,Kategorie
"0,5l Pilsner Urquell “hladinka”",68,Čepované pivo
"0,3l Pilsner Urquell",58,Čepované pivo
"0,3l Pilsner Urquell “šnyt”",58,Čepované pivo
"0,3l Pilsner Urquell “mlíko”",58,Čepované pivo
"0,3l Birell plech",52,Nealkoholické nápoje
"0,5l Domácí limonáda",80,Nealkoholické nápoje
"0,5l Točená kofola",55,Nealkoholické nápoje
"0,3l Točená kofola",45,Nealkoholické nápoje
"0,33l Royal crown",55,Nealkoholické nápoje
"0,33l Targa",55,Nealkoholické nápoje
"0,33l Rauch juice",55,Nealkoholické nápoje
"0,25l Vinea",55,Nealkoholické nápoje
"0,33l Rajec voda",45,Nealkoholické nápoje
"0,25l Semtex",65,Nealkoholické nápoje
"0,5l Filtrovaná voda s citronem",35,Nealkoholické nápoje
Espresso,55,Káva a čaj 
Turecká káva,55,Káva a čaj 
Cappuccino,70,Káva a čaj 
Latte Macchiato,80,Káva a čaj 
Flat white,95,Káva a čaj 
Ledová káva,90,Káva a čaj 
Čaj dle nabídky,59,Káva a čaj 
Horký zázvor,85,Káva a čaj 
Aperol spritz,140,Míchané nápoje
Hugo spritz,140,Míchané nápoje
Mojito,145,Míchané nápoje
Mojito virgin,95,Míchané nápoje
Cuba libre,145,Míchané nápoje
Gin tonik,145,Míchané nápoje
"0,04l Tullamore dew",80,Whiskey & bourbon
"0,04l Jack daniel´s",90,Whiskey & bourbon
"0,04l Jack daniel´s honey",90,Whiskey & bourbon
"0,04l Jim Beam",70,Whiskey & bourbon
"0,04l Glenmorangie Lasanta",185,Whiskey & bourbon
"0,04l Hennesy V.S.O.P",255,Whiskey & bourbon
"0,04l Havana club",80,Rumy
"0,04l Kakadu (banana rum)",80,Rumy
"0,04l Legendario 7yo",90,Rumy
"0,04l Diplomatico reserva 12yo",150,Rumy
"0,04l Bumbu",150,Rumy
"0,04l Don papa",160,Rumy
"0,04l Zacapa centenario 23yo",165,Rumy
"0,04l Malibu",80,Rumy
"0,04l Captain morgan spice",75,Rumy
"0,04l Božkov tuzemský",60,Rumy
"0,04l Baileys original",80,Destiláty
"0,04l Žufánek hruškovice",130,Destiláty
"0,04l Gin bombay",80,Destiláty
"0,04l Gin bosford",80,Destiláty
"0,04l Jägermeister",75,Destiláty
"0,04l Becherovka",65,Destiláty
"0,04l Tequila Olmeca",90,Destiláty
"0,04l Hruška bartida",80,Destiláty
"0,04l Finlandia vodka",75,Destiláty
"0,04l Fernet",60,Destiláty
"0,04l Peprmint",60,Destiláty
"0,04l Vassa zero gin/rum/vodka",85,Destiláty 0%Alc.
"0,15l Mikulov - Chardonnay/Modrý Portugal",85,Rozlévaná vína Morava 
"0,15l Giacondi Itálie - Pinot Grigio/Merlot",95,Rozlévaná vína zahraniční
"0,15l I Heart Prosecco Frizzante rozlévané",55,Šumivá vína
"0,75l I Heart Prosecco Frizzante",390,Šumivá vína
"0,75l Mionetto Prosecco DOC Treviso brut",460,Šumivá vína
"0,75l Bohemia Sekt demi/brut/nealko",390,Šumivá vína
"0,75l Mikulov Pálava pozdní sběr",390,Bílá lahvová vína
"0,75l Pavlov Chardonnay pozdní sběr",450,Bílá lahvová vína
"0,75l Freixenet Moscato IGP Terre Siciliane",490,Bílá lahvová vína
"0,75l Mikulov Cabernet Sauvignon pozdní sběr",390,Červená lahvová vína
"0,75l Freixenet Chianti DOCG",450,Červená lahvová vína
"0,75l Freixenet Primitivo IGP Puglia",490,Červená lahvová vína
