Název,Popisek,Cena,Kategorie
80g Domácí uzená pečeně z plemene Duroc,"uzená pečeně, kmínový chléb, nakládané zelí, domácí hořčice",125,Předkrmy | K pivu a vínu
200g Mix zahraničních sýrů a uzenin,"výběr zahraničních sýrů, šunka praga rustico, domácí uzená panenka, čerstvý chléb",235,Předkrmy | K pivu a vínu
Silný slepičí vývar s masem a nudlemi ,,85,Polévka
® Kachní prso z naší udírny,"uzené kachní prso, grilovaný pak choi, bramborový lokš, hoisin omáčka s kachním výpekem, rýžová kroketa",365,Hlavní jídla
® Naše kuře na paprice,"150g marinované grilované kuřecí prso, silná omáčka z paprik, smetana, petrželkový olej, domácí bramborové noky",275,Hlavní jídla
® Svíčková na smetaně ,"150g hovězí váleček, domácí karlovarské knedlíky, brusinky ",285,Hlavní jídla
Grilovaný candát s krémovou vinnou omáčkou,"200g candát, šťouchané brambory s konfitovaným pórkem, grilovaný citron 
",385,Hlavní jídla
150g Pomalu pečený roastbeef,"opečené brambůrky grenaille, naše tatarka",295,Hlavní jídla
"500g BBQ Pečená vepřová žebra
","náš zelný salát, domácí hořčice, čerstvý chléb",315,Hlavní jídla
125g Grilovaný sýr Halloumi,"restovaná sezónní zelenina, bazalkové pesto",255,Hlavní jídla
300g Grilovaná vepřová krkovice z plemene Duroc,"zelný salát, naše hořčice, čerstvý chléb",315,Steaky
250g Grilovaný hovězí hovězí rib eye steak,"lanýžová omáčka z našeho demi glace, opečené brambůrky grenaille, nakládaná cibulka",565,Steaky
200g Grilovaná chilská vepřová panenka,"pepřová omáčka z našeho demi glace, opečené brambůrky grenaille, nakládaná cibulka",395,Steaky
"® 150g Rančerský burger, domácí hranolky","hovězí chuck roll, čedar, slaninový chips, salát, cibulová marmeláda, aioli majonéza, domácí BBQ",340,Burgery
"150g Chilli burger, hranolky smažené na hovězím loji","hovězí chuck roll, čedar, slaninový chips, rajče, salát, červená cibule, čerstvé chilli, aioli majonéza",340,Burgery
"150g Bacon burger, hranolky smažené na hovězím loji","hovězí chuck roll, čedar, slaninový chips, kyselá okurka, slaninéza",340,Burgery
"150g Naháč burger, hranolky smažené na hovězím loji",rančerský burger bez máslové briošky,320,Burgery
350g Caesar salát,"grilované kuřecí prso/veg., trhané listy římského salátu, náš ančovičkový dresink, krutony, parmezán",265/225,Saláty
350g Italský salát Panzanella ,s bazalkou a mozzarellou z naší udírny,225,Saláty
Čokoládový fondán s vanilkovou zmrzlinou,,165,Sladká tečka
Citronová panna cotta s ovocným glazé,,145,Sladká tečka
Dětský slepičí vývar s masem a nudlemi ,,55,Dětská jídla
"80g Dětská svíčková, domácí karlovarský knedlík ",,165,Dětská jídla
"100g Přírodní kuřecí steak, domácí hranolky",,165,Dětská jídla
"100g Smažené kuřecí stripsy, domácí hranolky",,165,Dětská jídla
250g Hranolky smažené na hovězím loji,,75,Přílohy
250g Opečené brambůrky grenaille,,75,Přílohy
250g Grilovaná zelenina,,95,Přílohy
200g Domácí zelný salát,,55,Přílohy
150g Malý ochucený zeleninový salátek,,90,Přílohy
40g Domácí tatarka,,40,Přílohy
40g Majonéza z pečeného česneku,,40,Přílohy
40g Slaninová majonéza,,40,Přílohy
40g Kečup,,25,Přílohy
